HD137387     -15.0817   -0.0382233      39.8926     -24.1382     -27.0521
      29.8383
2.21802      2.21467      2.15589      2.25280      2.43483      2.35657
  -52.5000    0.047370    0.039468    0.032424    0.034470    0.041095    0.018370
  -45.0000    0.055515    0.041089    0.032105    0.048289    0.056958    0.018141
  -37.5000    0.067333    0.043179    0.031437    0.067258    0.074965    0.018261
  -30.0000    0.083093    0.048447    0.031595    0.083739    0.087179    0.018796
  -22.5000    0.098323    0.059920    0.033406    0.088103    0.086321    0.020124
  -15.0000    0.105166    0.077245    0.036188    0.077003    0.072706    0.022551
   -7.5000    0.098751    0.093999    0.038971    0.056750    0.054157    0.026745
    0.0000    0.082282    0.100778    0.041718    0.038142    0.038989    0.034696
    7.5000    0.064851    0.093604    0.045909    0.027637    0.029967    0.048136
   15.0000    0.053405    0.077150    0.054848    0.024872    0.025445    0.066202
   22.5000    0.048270    0.060320    0.070672    0.026025    0.022651    0.082790
   30.0000    0.046374    0.048493    0.089717    0.027597    0.020773    0.089332
   37.5000    0.044674    0.041648    0.102091    0.028130    0.020478    0.081991
   45.0000    0.042551    0.037466    0.099848    0.027878    0.022011    0.065365
   52.5000    0.041094    0.034776    0.084577    0.027915    0.024613    0.047731
   60.0000    0.040967    0.033463    0.065614    0.028562    0.027424    0.034438
   67.5000    0.041442    0.033729    0.051502    0.029645    0.030015    0.026509
   75.0000    0.041692    0.035471    0.044368    0.030707    0.032253    0.022983
   82.5000    0.041616    0.038162    0.041006    0.031396    0.033562    0.022715
   90.0000    0.041723    0.040538    0.037935    0.032076    0.033390    0.023953
   97.5000    0.041621    0.041448    0.034699    0.033533    0.031996    0.025545
  105.0000    0.040815    0.041114    0.032188    0.036193    0.030817    0.027123
  112.5000    0.039596    0.040322    0.031069    0.038991    0.031058    0.028726
  120.0000    0.038408    0.039326    0.031168    0.040298    0.032458    0.030091
  127.5000    0.037512    0.038088    0.031831    0.039704    0.034344    0.030329
  135.0000    0.037259    0.036447    0.031723    0.037547    0.035963    0.028752
  142.5000    0.037720    0.034650    0.029837    0.034327    0.036479    0.026317
  150.0000    0.038619    0.032907    0.026715    0.030694    0.035561    0.024408
  157.5000    0.039107    0.031291    0.023867    0.026949    0.033361    0.023096
  165.0000    0.038347    0.029913    0.022784    0.023290    0.030491    0.021305
  172.5000    0.036222    0.028656    0.022724    0.019782    0.027170    0.018755
  180.0000    0.033463    0.027363    0.021991    0.016187    0.023818    0.016299
  187.5001    0.031104    0.025978    0.020260    0.013016    0.021490    0.014885
  195.0001    0.029548    0.024723    0.017986    0.011040    0.020805    0.014453
  202.5001    0.028812    0.023941    0.016253    0.010654    0.021596    0.014433
  210.0001    0.028726    0.023686    0.016135    0.011266    0.022834    0.014228
  217.5001    0.029251    0.023454    0.017325    0.011799    0.023534    0.014004
  225.0001    0.029830    0.022764    0.018498    0.011606    0.023180    0.014179
  232.5001    0.029484    0.021511    0.018574    0.010983    0.022020    0.014963
  240.0001    0.028604    0.019768    0.017288    0.010951    0.021649    0.016112
  247.5001    0.027853    0.017649    0.015695    0.012401    0.023209    0.017264
  255.0001    0.027355    0.015655    0.014683    0.014907    0.025362    0.018149
  262.5001    0.026433    0.014573    0.014424    0.016975    0.025768    0.018823
  270.0001    0.024470    0.014179    0.014243    0.017846    0.023624    0.019392
  277.5001    0.022385    0.014267    0.013753    0.017376    0.020560    0.019240
  285.0001    0.021212    0.015211    0.012912    0.016189    0.018321    0.018145
  292.5001    0.021111    0.016586    0.012199    0.015152    0.016991    0.016673
  300.0001    0.021178    0.017207    0.012574    0.014276    0.015806    0.015364
  307.5001    0.020201    0.016468    0.014284    0.012856    0.014233    0.013938
  315.0001    0.017775    0.015106    0.016679    0.010330    0.012624    0.012353
  322.5001    0.014858    0.013953    0.018401    0.006912    0.011501    0.010812
  330.0001    0.012520    0.012930    0.018649    0.003484    0.011273    0.009490
  337.5001    0.010953    0.011451    0.017583    0.000775    0.011571    0.008232
  345.0001    0.009491    0.008955    0.016109   -0.000183    0.012080    0.006833
  352.5001    0.007530    0.005865    0.014524    0.000533    0.012068    0.005083
  360.0001    0.005153    0.003090    0.012079    0.002035    0.010861    0.002956
  367.5001    0.003024    0.001448    0.008169    0.002744    0.008458    0.001296
  375.0001    0.001503    0.000935    0.003495    0.001763    0.005444    0.000952
  382.5001    0.000188    0.001017   -0.000123   -0.000500    0.002019    0.001727
  390.0001   -0.001381    0.001206   -0.001848   -0.002868   -0.001640    0.002344
  397.5001   -0.003075    0.001541   -0.002100   -0.004230   -0.004943    0.002277
  405.0001   -0.003821    0.001931   -0.001593   -0.004067   -0.007393    0.001914
  412.5001   -0.003240    0.002180   -0.000766   -0.002616   -0.008688    0.001529
  420.0001   -0.001396    0.002124   -0.000754   -0.000317   -0.008489    0.000973
  427.5001    0.000633    0.002207   -0.002012    0.002305   -0.006859    0.000095
  435.0001    0.001984    0.002562   -0.003674    0.005211   -0.004231   -0.001024
  442.5001    0.002663    0.002562   -0.004393    0.007711   -0.001068   -0.001907
  450.0001    0.003216    0.002115   -0.004212    0.008824    0.001737   -0.002021
  457.5001    0.004070    0.001602   -0.003992    0.007763    0.003563   -0.001031
  465.0001    0.004986    0.001570   -0.003506    0.005588    0.004247    0.001026
  472.5001    0.005590    0.001824   -0.002349    0.003804    0.004382    0.003353
  480.0001    0.006120    0.002064   -0.000487    0.003309    0.005105    0.005194
  487.5001    0.006661    0.002291    0.001406    0.003790    0.006196    0.006060
  495.0001    0.006832    0.002929    0.002452    0.003867    0.007071    0.005935
  502.5001    0.006135    0.003782    0.002471    0.002532    0.007370    0.005198
  510.0001    0.004461    0.004080    0.002297    0.000037    0.007084    0.004751
  517.5001    0.002439    0.003923    0.003209   -0.002120    0.006391    0.004625
  525.0001    0.001401    0.004226    0.005377   -0.002794    0.005731    0.004275
  532.5001    0.002511    0.005395    0.008256   -0.002157    0.005099    0.003728
  540.0001    0.005370    0.007102    0.010702   -0.001304    0.004431    0.003718
  547.5001    0.008576    0.008684    0.011980   -0.000289    0.004029    0.004306
  555.0001    0.010592    0.009687    0.012199    0.001376    0.004250    0.004827
  562.5002    0.010559    0.009848    0.011445    0.003904    0.004934    0.004802
  570.0002    0.008628    0.009066    0.010296    0.006539    0.005499    0.004866
  577.5002    0.006524    0.007766    0.009888    0.008846    0.005614    0.005995
  585.0002    0.006278    0.006977    0.010623    0.010857    0.005526    0.008183
  592.5002    0.007921    0.007538    0.011946    0.012572    0.005833    0.010646
  600.0002    0.009930    0.009403    0.013100    0.013609    0.007375    0.012490
  607.5002    0.010597    0.011280    0.013914    0.014091    0.009993    0.013307
  615.0002    0.010296    0.012062    0.013935    0.014384    0.012713    0.013228
  622.5002    0.010559    0.011911    0.013088    0.014775    0.014672    0.012853
  630.0002    0.011948    0.011413    0.012320    0.015749    0.015927    0.012687
  637.5002    0.013672    0.011065    0.011847    0.017019    0.016877    0.012453
  645.0002    0.014628    0.011097    0.011274    0.017654    0.017541    0.011684
  652.5002    0.014563    0.011213    0.010309    0.016678    0.017790    0.010977
  660.0002    0.013685    0.011060    0.009311    0.014785    0.017610    0.011159
  667.5002    0.012480    0.010470    0.008991    0.013268    0.016895    0.012501
  675.0002    0.011418    0.009608    0.009567    0.012884    0.015947    0.014345
  682.5002    0.011101    0.008905    0.010677    0.013365    0.014745    0.015718
  690.0002    0.011537    0.009156    0.011732    0.014014    0.013089    0.016058
  697.5002    0.011884    0.010398    0.012409    0.014897    0.011511    0.015576
  705.0002    0.012069    0.012264    0.012514    0.016227    0.010825    0.014851
  712.5002    0.012305    0.014379    0.012130    0.018166    0.012007    0.014247
